epoch,loss,val_loss
0,0.33594761742991536,0.6958045093417168
1,0.33550966096829266,0.690119615137577
2,0.3354786654745872,0.6921887543797492
3,0.3359886657634524,0.6931840133666992
4,0.3370711543182531,0.6894519649147988
5,0.3369046116848623,0.6880201910138131
6,0.33622754696758866,0.6883536418080329
7,0.33719118462301184,0.6906725817918777
8,0.33593872003967307,0.6919761172533035
9,0.33680156458774907,0.6872478727698326
10,0.3369944380199795,0.69138616335392
11,0.3375524366210162,0.6867398253679275
12,0.33697925233312764,0.6894161724448205
13,0.3362853685786504,0.6963536571860314
14,0.3359305807144153,0.6919041345119477
15,0.3363075651313632,0.6897926535606385
16,0.33591368325697996,0.6903487918972969
17,0.3370621652242512,0.6922777441740036
18,0.3372630688882152,0.6930612561106682
19,0.33649931377906456,0.6861493625640869
20,0.3366159572419419,0.695231626868248
21,0.33722204450223797,0.6945249477028846
22,0.33644006739439314,0.6886881121397018
23,0.3360686905459405,0.6879978381991386
24,0.33662165288542933,0.6872129850983619
25,0.3364640646620051,0.6909910681247711
26,0.33692667819631605,0.6871837843060493
27,0.33568060338171163,0.6853565940856934
28,0.33638827900097296,0.6923622854948044
29,0.33678427615697054,0.6843990207314491
30,0.3362605073910893,0.6876149656176567
31,0.33669681716779276,0.6895945557951927
32,0.33682867174852976,0.6876044344902038
33,0.33701926514750835,0.6933739219903946
34,0.3365877012091245,0.6912250013351441
35,0.33718907805933,0.6858502596616745
36,0.33676317229955066,0.6896793315410614
37,0.3363931626484846,0.6928031785488129
38,0.3373024180892897,0.6876570826172829
39,0.3361375947715393,0.6920115259289742
40,0.33695669672013806,0.6879705302715301
41,0.3358922018727429,0.6827882336974144
42,0.33662413010201553,0.687482475221157
43,0.33607630070010164,0.6909674215316772
44,0.3367546727631502,0.6875658494830131
45,0.33742842932385203,0.6894450536370278
46,0.3364806361477926,0.6920967103242874
47,0.3375279275407897,0.6937989554405213
48,0.33635325900830393,0.6918272696137429
49,0.3357559715105772,0.6930904280543327
