Epoch, Train loss, Val. loss
0,4.9004986643791195,4.850490554332733
1,5.080956597328186,4.919396486759186
2,5.212915601730347,4.993066270828247
3,5.157140626907348,5.026790919780731
0,0.36975646153092384,0.3218234205506742
1,0.3227068363130093,0.2952664047703147
2,0.31725694715976716,0.2822077029235661
3,0.3122481009364128,0.2802789952531457
0,0.3709281335771084,0.29778116759285334
1,0.3227368228137493,0.2850422511100769
2,0.31176875248551367,0.2849108138754964
3,0.31216792449355124,0.2774854776524007
0,0.386180452555418,0.294564805932343
1,0.32019243225455285,0.2912037068344653
2,0.3106061404943466,0.28421910378709436
3,0.31550518721342086,0.2841336642019451
0,0.3800585401058197,0.2995048254840076
1,0.31181242227554323,0.2854025648646057
2,0.31526437804102897,0.28235241561383007
3,0.31095889061689375,0.2801709623672068
