epoch,loss,val_loss
0,0.29745857324153,0.2513250872194767
1,0.2862330442772149,0.24891599222645164
2,0.2830317280702946,0.2463122910298407
3,0.28145380471453246,0.2451077407337725
4,0.28071221099914756,0.24434537241980434
5,0.27979073213144323,0.24380545239150525
6,0.27957815799115876,0.2431242184713483
7,0.27903813383607984,0.24358989167585968
8,0.27817058096687364,0.24293037705868484
9,0.2784618186823681,0.24281174997240304
10,0.27750871089029183,0.24230845102854073
11,0.2772707815137878,0.24209298429451884
12,0.27712533239325315,0.24199328283593058
13,0.2767006336164438,0.24142647368088366
14,0.27632419555319226,0.24244058066979052
15,0.27696531474652764,0.24169626340083777
16,0.27659217705148237,0.242437126128003
17,0.27595790411628307,0.2409455779530108
18,0.2757153590458919,0.24139589330926536
19,0.27595468746767043,0.24120994013920427
20,0.2756028464216358,0.24160171002708375
21,0.2759286901845972,0.24070611464791
22,0.2757532405823429,0.24079544959776103
23,0.274886707627656,0.24094270120561123
24,0.27512286684996395,0.24081395722180604
25,0.27570099518880264,0.2405811311043799
26,0.2744308971512711,0.24062328734621405
27,0.27491518187461816,0.24072318438068033
28,0.27496327525655917,0.2404948979448527
29,0.27516623264961665,0.24049357024766504
30,0.2752331815047974,0.24086352577991785
31,0.2749970195142758,0.240781173074618
32,0.2749558717381963,0.24004789620824157
33,0.2745216788370881,0.24008672469481826
34,0.2748285051390339,0.24002494889311493
35,0.2754626051515363,0.2402193334605545
36,0.2741789404078802,0.24033731730282307
37,0.27412926033724794,0.2398442284259945
38,0.2743701294247566,0.24018421052582561
39,0.2739879660693968,0.24001977207511663
40,0.2750013004017909,0.2398956696074456
41,0.2741717298767748,0.23979724058136345
42,0.2742649579260522,0.23995717530697583
43,0.2741580926822674,0.24012825910933316
44,0.27396837392254886,0.24006280275806785
45,0.2746248228079977,0.2399046132452786
46,0.2743670351778579,0.23963745524920524
47,0.2746273240464568,0.2396858875323087
48,0.2737800835983616,0.23994320468232036
49,0.27378789121171765,0.23983393367007375
50,0.2745408566775224,0.24015150848589836
51,0.2739519626544131,0.2398889965917915
52,0.2739498158331806,0.23936848132312297
53,0.2741746501053158,0.23951314297877252
54,0.27379000312708623,0.23980894241295755
55,0.2741505662685793,0.23921720482222736
56,0.2744695609462007,0.23922877782210708
57,0.27391378127904686,0.2396078918185085
58,0.2731242573224132,0.23922786911018193
59,0.27410851705856454,0.23969958106428385
60,0.2734668221236413,0.23927664606645704
61,0.2739686177986121,0.23964259118773043
62,0.27342175968403853,0.2400415300745517
63,0.273845796672146,0.2391524623874575
64,0.27373330996291506,0.23961206488870085
65,0.27332520865759724,0.23936376394703984
66,0.27326033021713597,0.23902607700414955
67,0.27342065540189797,0.23909650152549147
68,0.2738099858575118,0.23910315967537463
69,0.2733437058618809,0.2390858379099518
70,0.2727123538232026,0.23933337971754373
71,0.2737530718539156,0.23883102074451745
72,0.27326676423786167,0.23900796650722622
73,0.27359316664212047,0.23897837588004767
74,0.2729683992085693,0.23900943588651716
