'Validation error', 'Training error', 'Epoch', 'D/T'
0.561724, 0.559736, 114, 2020-01-04/20:03:35
0.562146, 0.5602, 115, 2020-01-04/20:45:55
0.562945, 0.56035, 116, 2020-01-04/21:28:24
0.56163, 0.559805, 117, 2020-01-04/22:10:59
0.565398, 0.560181, 118, 2020-01-04/22:53:22
0.561799, 0.559847, 119, 2020-01-04/23:35:46
0.561664, 0.559601, 120, 2020-01-05/00:18:17
0.561939, 0.559759, 121, 2020-01-05/01:00:54
0.562169, 0.559667, 122, 2020-01-05/01:43:29
0.562025, 0.560048, 123, 2020-01-05/02:26:02
0.562028, 0.559642, 124, 2020-01-05/03:08:30
0.563266, 0.559648, 125, 2020-01-05/03:50:53
0.561807, 0.560214, 126, 2020-01-05/04:33:10
0.56161, 0.560173, 127, 2020-01-05/05:15:41
0.56194, 0.559714, 128, 2020-01-05/05:58:08
0.561652, 0.55976, 129, 2020-01-05/06:40:33
0.560923, 0.55944, 130, 2020-01-05/07:23:07
0.561824, 0.559914, 131, 2020-01-05/08:05:33
0.561824, 0.559619, 132, 2020-01-05/08:47:58
0.56106, 0.559567, 133, 2020-01-05/09:30:35
0.561396, 0.559679, 134, 2020-01-05/10:13:08
0.561836, 0.560214, 135, 2020-01-05/10:55:39
0.56148, 0.558977, 136, 2020-01-05/11:38:07
0.56163, 0.559795, 137, 2020-01-05/12:20:16
0.563574, 0.559789, 138, 2020-01-05/13:02:29
0.561777, 0.559079, 139, 2020-01-05/13:45:00
0.56122, 0.559771, 140, 2020-01-05/14:27:34
0.561228, 0.559468, 141, 2020-01-05/15:10:05
0.562108, 0.559734, 142, 2020-01-05/15:52:11
0.560915, 0.55913, 143, 2020-01-05/16:34:35
0.560881, 0.559066, 144, 2020-01-05/17:17:16
0.56266, 0.559272, 145, 2020-01-05/17:59:59
0.56264, 0.55986, 146, 2020-01-05/18:42:45
0.56166, 0.559258, 147, 2020-01-05/19:25:37
0.563285, 0.55917, 148, 2020-01-05/20:08:17
0.56109, 0.55911, 149, 2020-01-05/20:50:51
0.561409, 0.55921, 150, 2020-01-05/21:33:38
0.561173, 0.558992, 151, 2020-01-05/22:16:28
0.561485, 0.55846, 152, 2020-01-05/22:59:17
0.561224, 0.559492, 153, 2020-01-05/23:42:10
0.560638, 0.558803, 154, 2020-01-06/00:25:01
0.561462, 0.559391, 155, 2020-01-06/01:07:50
0.561413, 0.558643, 156, 2020-01-06/01:50:42
0.561885, 0.559376, 157, 2020-01-06/02:33:35
0.560772, 0.558954, 158, 2020-01-06/03:16:30
0.560763, 0.559223, 159, 2020-01-06/03:59:25
0.560342, 0.55878, 160, 2020-01-06/04:42:09
0.560931, 0.55865, 161, 2020-01-06/05:25:00
0.561568, 0.55884, 162, 2020-01-06/06:07:49
0.560867, 0.558643, 163, 2020-01-06/06:50:34
0.561058, 0.558791, 164, 2020-01-06/07:33:26
0.561347, 0.558679, 165, 2020-01-06/08:15:52
0.560323, 0.558493, 166, 2020-01-06/08:58:29
0.561341, 0.55854, 167, 2020-01-06/09:41:18
0.561024, 0.558835, 168, 2020-01-06/10:24:13
0.560419, 0.5594, 169, 2020-01-06/11:07:09
0.561363, 0.559118, 170, 2020-01-06/11:50:00
0.561686, 0.559079, 171, 2020-01-06/12:32:55
0.561164, 0.559243, 172, 2020-01-06/13:15:48
0.56014, 0.558916, 173, 2020-01-06/13:58:41
0.561138, 0.558504, 174, 2020-01-06/14:41:33
0.56023, 0.558508, 175, 2020-01-06/15:24:28
0.56064, 0.558811, 176, 2020-01-06/16:07:27
0.560164, 0.558265, 177, 2020-01-06/16:50:26
0.560142, 0.558507, 178, 2020-01-06/17:33:24
0.559964, 0.558442, 179, 2020-01-06/18:16:22
0.561525, 0.55808, 180, 2020-01-06/18:59:15
0.559898, 0.557937, 181, 2020-01-06/19:41:54
0.56121, 0.55831, 182, 2020-01-06/20:24:46
0.56051, 0.558228, 183, 2020-01-06/21:07:45
0.560275, 0.558451, 184, 2020-01-06/21:50:41
0.560799, 0.558641, 185, 2020-01-06/22:33:33
0.560538, 0.558526, 186, 2020-01-06/23:16:23
0.560277, 0.558428, 187, 2020-01-06/23:59:15
0.559738, 0.558463, 188, 2020-01-07/00:42:06
0.560778, 0.558314, 189, 2020-01-07/01:25:04
0.559937, 0.559154, 190, 2020-01-07/02:07:51
0.560161, 0.558492, 191, 2020-01-07/02:50:39
0.55972, 0.557696, 192, 2020-01-07/03:33:29
0.561376, 0.558318, 193, 2020-01-07/04:16:20
0.5602, 0.558308, 194, 2020-01-07/04:59:12
0.560743, 0.558341, 195, 2020-01-07/05:42:05
0.559693, 0.558064, 196, 2020-01-07/06:25:01
0.560462, 0.557516, 197, 2020-01-07/07:07:51
0.559858, 0.557683, 198, 2020-01-07/07:50:29
0.559763, 0.55815, 199, 2020-01-07/08:32:57
0.560706, 0.558182, 200, 2020-01-07/09:15:53
