noise_src, snr_db, CSIG, CBAK, COVL, PESQ, STOI
SIGNAL019.wav, -5, 2.22, 1.67, 1.60, 1.15, 58.27
SIGNAL019.wav, 0, 2.87, 2.10, 2.10, 1.43, 77.17
SIGNAL019.wav, 5, 3.41, 2.53, 2.58, 1.81, 88.29
SIGNAL019.wav, 10, 3.95, 3.04, 3.15, 2.37, 93.83
SIGNAL019.wav, 15, 4.38, 3.51, 3.62, 2.84, 96.71
26270.wav, -5, 2.04, 1.82, 1.51, 1.18, 68.27
26270.wav, 0, 2.59, 2.18, 1.93, 1.40, 80.75
26270.wav, 5, 3.11, 2.60, 2.40, 1.77, 88.85
26270.wav, 10, 3.59, 3.05, 2.90, 2.23, 93.18
26270.wav, 15, 4.03, 3.50, 3.37, 2.72, 95.76
SIGNAL020.wav, -5, 2.39, 1.89, 1.74, 1.24, 72.54
SIGNAL020.wav, 0, 2.85, 2.21, 2.13, 1.51, 83.88
SIGNAL020.wav, 5, 3.31, 2.59, 2.59, 1.93, 90.51
SIGNAL020.wav, 10, 3.82, 3.02, 3.12, 2.45, 94.56
SIGNAL020.wav, 15, 4.27, 3.42, 3.59, 2.92, 96.91
SIGNAL021.wav, -5, 2.06, 1.76, 1.50, 1.16, 64.05
SIGNAL021.wav, 0, 2.70, 2.16, 1.98, 1.38, 79.04
SIGNAL021.wav, 5, 3.25, 2.58, 2.47, 1.77, 88.27
SIGNAL021.wav, 10, 3.74, 3.04, 2.97, 2.23, 93.51
SIGNAL021.wav, 15, 4.12, 3.45, 3.37, 2.61, 96.35
