noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.04,1.07,31.99,6.99
26270,-15,1.04,1.12,38.08,13.80
26270,-10,1.06,1.18,48.45,23.93
26270,-5,1.13,1.37,62.81,39.93
26270,0,1.28,1.70,76.36,57.55
26270,5,1.56,2.20,86.18,71.94
26270,10,2.00,2.74,91.82,81.94
26270,15,2.45,3.16,94.79,88.23
26270,20,2.87,3.56,96.65,92.35
26270,25,3.27,3.86,97.77,94.92
26270,30,3.57,4.06,98.53,96.64
SIGNAL019,-20,1.16,1.17,27.24,4.92
SIGNAL019,-15,1.07,1.20,31.01,10.60
SIGNAL019,-10,1.12,1.20,39.79,19.96
SIGNAL019,-5,1.12,1.32,56.21,34.84
SIGNAL019,0,1.34,1.69,73.70,55.14
SIGNAL019,5,1.70,2.22,85.80,71.99
SIGNAL019,10,2.22,2.79,92.65,83.72
SIGNAL019,15,2.74,3.29,96.06,90.34
SIGNAL019,20,3.16,3.66,97.74,94.11
SIGNAL019,25,3.47,3.90,98.50,96.07
SIGNAL019,30,3.73,4.07,98.92,97.26
SIGNAL020,-20,1.04,1.13,33.89,1.94
SIGNAL020,-15,1.04,1.24,38.96,6.77
SIGNAL020,-10,1.06,1.19,49.93,18.95
SIGNAL020,-5,1.22,1.52,67.93,42.80
SIGNAL020,0,1.51,2.00,81.32,61.42
SIGNAL020,5,1.88,2.46,88.87,74.21
SIGNAL020,10,2.31,2.90,93.30,82.70
SIGNAL020,15,2.77,3.30,95.95,88.66
SIGNAL020,20,3.15,3.65,97.55,92.71
SIGNAL020,25,3.47,3.93,98.51,95.29
SIGNAL020,30,3.70,4.09,99.04,96.93
SIGNAL021,-20,1.06,1.13,34.29,1.76
SIGNAL021,-15,1.06,1.10,37.26,5.10
SIGNAL021,-10,1.04,1.14,46.35,16.04
SIGNAL021,-5,1.12,1.32,60.83,33.96
SIGNAL021,0,1.31,1.70,76.28,54.66
SIGNAL021,5,1.67,2.21,86.28,70.59
SIGNAL021,10,2.08,2.73,92.13,80.98
SIGNAL021,15,2.44,3.16,95.28,87.37
SIGNAL021,20,2.90,3.51,97.17,91.84
SIGNAL021,25,3.24,3.76,98.18,94.55
SIGNAL021,30,3.50,3.90,98.72,96.15
