noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.05,1.10,34.08,6.87
26270,-15,1.04,1.15,42.22,14.34
26270,-10,1.07,1.25,53.46,26.09
26270,-5,1.15,1.44,66.95,42.21
26270,0,1.32,1.78,79.30,59.72
26270,5,1.65,2.26,87.80,74.08
26270,10,2.08,2.74,92.73,83.24
26270,15,2.55,3.17,95.51,89.15
26270,20,2.95,3.52,97.13,93.07
26270,25,3.26,3.78,98.13,95.50
26270,30,3.52,3.96,98.76,97.17
SIGNAL019,-20,1.08,1.15,28.77,5.20
SIGNAL019,-15,1.08,1.17,35.03,11.19
SIGNAL019,-10,1.07,1.21,46.42,22.22
SIGNAL019,-5,1.15,1.41,62.65,38.50
SIGNAL019,0,1.43,1.81,77.97,58.24
SIGNAL019,5,1.81,2.34,87.99,74.66
SIGNAL019,10,2.30,2.85,93.63,85.03
SIGNAL019,15,2.82,3.37,96.58,91.19
SIGNAL019,20,3.27,3.74,98.02,94.61
SIGNAL019,25,3.61,4.00,98.75,96.52
SIGNAL019,30,3.90,4.18,99.16,97.65
SIGNAL020,-20,1.10,1.36,34.73,2.45
SIGNAL020,-15,1.05,1.19,42.03,9.58
SIGNAL020,-10,1.09,1.27,55.32,25.14
SIGNAL020,-5,1.26,1.59,71.80,46.50
SIGNAL020,0,1.57,2.05,82.95,63.48
SIGNAL020,5,1.95,2.48,89.66,75.42
SIGNAL020,10,2.41,2.93,94.01,84.16
SIGNAL020,15,2.80,3.33,96.53,89.89
SIGNAL020,20,3.18,3.69,97.96,93.75
SIGNAL020,25,3.49,3.96,98.76,96.16
SIGNAL020,30,3.70,4.11,99.21,97.55
SIGNAL021,-20,1.04,1.12,32.56,3.52
SIGNAL021,-15,1.05,1.13,40.33,10.45
SIGNAL021,-10,1.07,1.23,52.25,22.19
SIGNAL021,-5,1.16,1.41,65.41,38.00
SIGNAL021,0,1.36,1.77,78.09,56.02
SIGNAL021,5,1.71,2.23,86.98,71.17
SIGNAL021,10,2.13,2.71,92.45,81.63
SIGNAL021,15,2.48,3.11,95.64,88.38
SIGNAL021,20,2.90,3.49,97.44,92.63
SIGNAL021,25,3.28,3.73,98.43,95.30
SIGNAL021,30,3.57,3.94,98.92,96.85
