noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.05,1.10,32.42,7.31
26270,-15,1.04,1.10,39.33,14.11
26270,-10,1.06,1.22,50.57,25.27
26270,-5,1.14,1.42,65.24,42.78
26270,0,1.33,1.78,78.25,60.07
26270,5,1.65,2.27,87.22,73.72
26270,10,2.08,2.78,92.48,82.91
26270,15,2.58,3.25,95.43,88.97
26270,20,3.06,3.65,97.14,93.12
26270,25,3.43,3.93,98.18,95.60
26270,30,3.75,4.13,98.85,97.25
SIGNAL019,-20,1.05,1.13,29.89,5.00
SIGNAL019,-15,1.08,1.12,33.80,10.04
SIGNAL019,-10,1.05,1.14,43.13,20.60
SIGNAL019,-5,1.16,1.37,59.21,36.65
SIGNAL019,0,1.37,1.74,75.25,56.28
SIGNAL019,5,1.77,2.28,86.86,73.19
SIGNAL019,10,2.29,2.83,93.21,84.51
SIGNAL019,15,2.80,3.31,96.33,90.73
SIGNAL019,20,3.20,3.67,97.87,94.31
SIGNAL019,25,3.51,3.95,98.69,96.38
SIGNAL019,30,3.78,4.13,99.12,97.63
SIGNAL020,-20,1.11,1.18,33.49,2.36
SIGNAL020,-15,1.05,1.10,39.45,7.30
SIGNAL020,-10,1.08,1.24,50.90,19.78
SIGNAL020,-5,1.25,1.55,69.29,44.06
SIGNAL020,0,1.54,2.02,81.78,62.00
SIGNAL020,5,1.91,2.44,89.32,74.71
SIGNAL020,10,2.36,2.86,93.68,83.52
SIGNAL020,15,2.80,3.25,96.22,89.54
SIGNAL020,20,3.15,3.61,97.74,93.24
SIGNAL020,25,3.43,3.89,98.65,95.76
SIGNAL020,30,3.65,4.07,99.17,97.37
SIGNAL021,-20,1.04,1.12,34.62,0.87
SIGNAL021,-15,1.08,1.09,37.93,5.09
SIGNAL021,-10,1.05,1.16,46.67,16.44
SIGNAL021,-5,1.14,1.36,61.62,35.57
SIGNAL021,0,1.35,1.75,76.59,55.59
SIGNAL021,5,1.69,2.25,86.71,71.55
SIGNAL021,10,2.12,2.74,92.60,82.22
SIGNAL021,15,2.49,3.18,95.66,88.61
SIGNAL021,20,2.92,3.51,97.42,92.95
SIGNAL021,25,3.28,3.75,98.47,95.56
SIGNAL021,30,3.64,3.99,99.07,97.16
