noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.07,1.12,31.35,7.03
26270,-15,1.03,1.11,39.26,13.94
26270,-10,1.06,1.21,50.86,25.57
26270,-5,1.15,1.43,66.48,43.64
26270,0,1.33,1.79,79.50,60.89
26270,5,1.64,2.26,87.89,74.08
26270,10,2.07,2.78,92.72,83.16
26270,15,2.54,3.21,95.44,88.90
26270,20,2.97,3.59,97.12,92.85
26270,25,3.33,3.87,98.14,95.36
26270,30,3.62,4.06,98.82,97.08
SIGNAL019,-20,1.06,1.20,28.30,4.76
SIGNAL019,-15,1.08,1.20,32.81,9.84
SIGNAL019,-10,1.06,1.14,42.49,20.09
SIGNAL019,-5,1.14,1.38,59.55,36.74
SIGNAL019,0,1.38,1.76,76.00,57.08
SIGNAL019,5,1.77,2.27,87.23,73.45
SIGNAL019,10,2.25,2.79,93.14,84.30
SIGNAL019,15,2.75,3.28,96.33,90.57
SIGNAL019,20,3.17,3.66,97.83,94.08
SIGNAL019,25,3.50,3.92,98.59,96.11
SIGNAL019,30,3.75,4.10,99.00,97.36
SIGNAL020,-20,1.04,1.11,35.10,1.93
SIGNAL020,-15,1.06,1.13,40.06,7.11
SIGNAL020,-10,1.08,1.24,51.03,21.53
SIGNAL020,-5,1.26,1.59,69.85,44.82
SIGNAL020,0,1.55,2.02,82.48,62.79
SIGNAL020,5,1.93,2.46,89.44,74.91
SIGNAL020,10,2.36,2.89,93.67,83.20
SIGNAL020,15,2.80,3.29,96.21,89.24
SIGNAL020,20,3.17,3.64,97.74,93.18
SIGNAL020,25,3.46,3.90,98.61,95.62
SIGNAL020,30,3.67,4.08,99.13,97.17
SIGNAL021,-20,1.19,1.50,34.63,1.39
SIGNAL021,-15,1.07,1.20,38.21,5.10
SIGNAL021,-10,1.05,1.15,45.79,14.65
SIGNAL021,-5,1.13,1.38,62.14,35.73
SIGNAL021,0,1.33,1.74,77.27,56.17
SIGNAL021,5,1.65,2.19,86.62,71.59
SIGNAL021,10,2.09,2.67,92.42,81.97
SIGNAL021,15,2.46,3.11,95.56,88.33
SIGNAL021,20,2.84,3.45,97.34,92.44
SIGNAL021,25,3.17,3.69,98.30,94.88
SIGNAL021,30,3.49,3.90,98.87,96.53
