noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.06,1.22,32.47,7.07
26270,-15,1.04,1.11,39.86,14.47
26270,-10,1.06,1.21,51.29,25.32
26270,-5,1.14,1.42,65.57,42.54
26270,0,1.31,1.76,78.16,59.96
26270,5,1.63,2.25,87.18,73.57
26270,10,2.08,2.75,92.34,82.91
26270,15,2.54,3.21,95.37,89.04
26270,20,3.00,3.59,97.08,93.00
26270,25,3.33,3.85,98.05,95.43
26270,30,3.62,4.05,98.78,97.15
SIGNAL019,-20,1.11,1.24,29.82,5.54
SIGNAL019,-15,1.10,1.15,34.01,10.73
SIGNAL019,-10,1.06,1.15,44.36,21.35
SIGNAL019,-5,1.14,1.38,60.09,37.45
SIGNAL019,0,1.39,1.77,76.61,57.73
SIGNAL019,5,1.75,2.25,87.51,74.06
SIGNAL019,10,2.25,2.80,93.39,84.72
SIGNAL019,15,2.76,3.29,96.37,90.82
SIGNAL019,20,3.18,3.66,97.89,94.34
SIGNAL019,25,3.50,3.93,98.62,96.27
SIGNAL019,30,3.80,4.11,99.04,97.52
SIGNAL020,-20,1.08,1.11,32.97,1.80
SIGNAL020,-15,1.05,1.11,39.17,7.47
SIGNAL020,-10,1.07,1.22,51.50,21.97
SIGNAL020,-5,1.23,1.53,69.27,44.34
SIGNAL020,0,1.51,1.96,82.01,62.11
SIGNAL020,5,1.87,2.41,89.43,74.85
SIGNAL020,10,2.29,2.82,93.67,83.45
SIGNAL020,15,2.68,3.20,96.19,89.36
SIGNAL020,20,3.09,3.58,97.70,93.17
SIGNAL020,25,3.38,3.85,98.61,95.62
SIGNAL020,30,3.61,4.06,99.15,97.24
SIGNAL021,-20,1.13,1.35,35.16,1.37
SIGNAL021,-15,1.15,1.24,38.26,4.60
SIGNAL021,-10,1.04,1.14,47.00,16.19
SIGNAL021,-5,1.12,1.35,61.68,34.24
SIGNAL021,0,1.30,1.72,77.19,55.29
SIGNAL021,5,1.68,2.23,86.97,71.75
SIGNAL021,10,2.17,2.76,92.72,82.44
SIGNAL021,15,2.53,3.18,95.64,88.59
SIGNAL021,20,2.94,3.52,97.37,92.81
SIGNAL021,25,3.34,3.79,98.45,95.48
SIGNAL021,30,3.62,3.98,99.07,97.20
