noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.05,1.13,32.05,7.74
26270,-15,1.04,1.12,40.49,15.19
26270,-10,1.07,1.24,51.53,26.06
26270,-5,1.15,1.43,65.53,42.39
26270,0,1.31,1.75,77.83,59.65
26270,5,1.61,2.22,87.05,73.41
26270,10,2.05,2.70,92.34,82.81
26270,15,2.48,3.10,95.25,88.85
26270,20,2.89,3.48,96.98,92.82
26270,25,3.27,3.77,98.11,95.40
26270,30,3.62,4.01,98.81,97.08
SIGNAL019,-20,1.11,1.23,28.11,5.20
SIGNAL019,-15,1.10,1.17,33.22,10.77
SIGNAL019,-10,1.07,1.19,43.41,21.44
SIGNAL019,-5,1.16,1.35,58.81,36.68
SIGNAL019,0,1.38,1.75,74.99,56.22
SIGNAL019,5,1.75,2.26,86.98,73.16
SIGNAL019,10,2.23,2.76,93.02,84.12
SIGNAL019,15,2.73,3.26,96.24,90.60
SIGNAL019,20,3.14,3.63,97.80,94.18
SIGNAL019,25,3.48,3.92,98.57,96.22
SIGNAL019,30,3.77,4.10,99.02,97.50
SIGNAL020,-20,1.05,1.13,32.03,2.02
SIGNAL020,-15,1.06,1.12,38.90,7.95
SIGNAL020,-10,1.08,1.24,50.91,21.16
SIGNAL020,-5,1.23,1.57,68.77,43.43
SIGNAL020,0,1.52,1.96,81.61,61.32
SIGNAL020,5,1.85,2.38,89.21,74.31
SIGNAL020,10,2.27,2.79,93.56,82.90
SIGNAL020,15,2.72,3.19,96.13,89.08
SIGNAL020,20,3.10,3.57,97.64,92.92
SIGNAL020,25,3.39,3.84,98.56,95.41
SIGNAL020,30,3.65,4.05,99.11,97.11
SIGNAL021,-20,1.23,1.58,32.41,2.28
SIGNAL021,-15,1.16,1.28,36.54,6.29
SIGNAL021,-10,1.05,1.15,45.53,17.21
SIGNAL021,-5,1.11,1.31,60.89,35.35
SIGNAL021,0,1.29,1.69,75.85,54.40
SIGNAL021,5,1.59,2.18,86.27,70.64
SIGNAL021,10,2.05,2.66,92.17,81.22
SIGNAL021,15,2.38,3.03,95.41,87.72
SIGNAL021,20,2.76,3.39,97.29,92.23
SIGNAL021,25,3.13,3.66,98.28,94.96
SIGNAL021,30,3.44,3.88,98.85,96.71
