noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.05,1.10,32.09,7.40
26270,-15,1.03,1.11,39.37,14.48
26270,-10,1.06,1.21,50.36,25.09
26270,-5,1.12,1.38,64.56,41.58
26270,0,1.29,1.73,77.85,59.51
26270,5,1.59,2.20,86.92,73.41
26270,10,1.99,2.70,92.32,82.71
26270,15,2.42,3.13,95.21,88.55
26270,20,2.86,3.53,97.00,92.62
26270,25,3.22,3.82,98.08,95.23
26270,30,3.52,4.01,98.75,96.98
SIGNAL019,-20,1.19,1.19,29.57,4.76
SIGNAL019,-15,1.11,1.18,33.75,9.77
SIGNAL019,-10,1.05,1.17,43.42,20.01
SIGNAL019,-5,1.13,1.34,59.17,36.20
SIGNAL019,0,1.37,1.76,76.12,57.10
SIGNAL019,5,1.75,2.27,87.26,73.54
SIGNAL019,10,2.27,2.80,93.25,84.41
SIGNAL019,15,2.75,3.30,96.34,90.61
SIGNAL019,20,3.18,3.67,97.94,94.30
SIGNAL019,25,3.52,3.94,98.72,96.41
SIGNAL019,30,3.82,4.13,99.16,97.68
SIGNAL020,-20,1.12,1.21,34.75,2.28
SIGNAL020,-15,1.04,1.11,39.68,7.26
SIGNAL020,-10,1.07,1.22,51.23,21.06
SIGNAL020,-5,1.23,1.54,68.76,43.96
SIGNAL020,0,1.52,1.99,81.77,62.08
SIGNAL020,5,1.89,2.44,89.11,74.67
SIGNAL020,10,2.34,2.85,93.47,83.10
SIGNAL020,15,2.79,3.26,96.12,89.26
SIGNAL020,20,3.15,3.62,97.70,93.15
SIGNAL020,25,3.46,3.90,98.63,95.62
SIGNAL020,30,3.69,4.08,99.15,97.17
SIGNAL021,-20,1.03,1.07,35.05,1.32
SIGNAL021,-15,1.05,1.09,38.43,4.96
SIGNAL021,-10,1.05,1.15,46.91,15.58
SIGNAL021,-5,1.12,1.34,62.01,34.60
SIGNAL021,0,1.32,1.72,76.98,55.35
SIGNAL021,5,1.64,2.20,86.54,71.18
SIGNAL021,10,2.10,2.72,92.35,81.54
SIGNAL021,15,2.42,3.08,95.38,87.75
SIGNAL021,20,2.83,3.43,97.20,92.07
SIGNAL021,25,3.17,3.67,98.12,94.62
SIGNAL021,30,3.44,3.83,98.72,96.25
