noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.06,1.11,32.39,7.03
26270,-15,1.04,1.11,39.50,14.47
26270,-10,1.06,1.22,51.17,25.53
26270,-5,1.14,1.42,65.98,43.26
26270,0,1.32,1.79,79.05,60.70
26270,5,1.63,2.25,87.75,74.08
26270,10,2.07,2.76,92.74,83.40
26270,15,2.55,3.22,95.55,89.31
26270,20,3.00,3.61,97.16,93.16
26270,25,3.38,3.91,98.18,95.66
26270,30,3.69,4.11,98.87,97.27
SIGNAL019,-20,1.07,1.16,28.35,4.91
SIGNAL019,-15,1.09,1.34,32.61,9.95
SIGNAL019,-10,1.06,1.15,43.49,20.72
SIGNAL019,-5,1.16,1.37,59.48,36.64
SIGNAL019,0,1.40,1.78,76.67,57.69
SIGNAL019,5,1.77,2.28,87.41,74.10
SIGNAL019,10,2.26,2.80,93.35,84.65
SIGNAL019,15,2.73,3.27,96.36,90.70
SIGNAL019,20,3.16,3.67,97.88,94.24
SIGNAL019,25,3.49,3.95,98.66,96.27
SIGNAL019,30,3.76,4.14,99.10,97.54
SIGNAL020,-20,1.04,1.14,33.89,2.12
SIGNAL020,-15,1.05,1.12,40.55,8.12
SIGNAL020,-10,1.08,1.24,52.15,22.70
SIGNAL020,-5,1.25,1.57,69.80,44.89
SIGNAL020,0,1.54,2.02,82.23,62.63
SIGNAL020,5,1.90,2.43,89.45,75.11
SIGNAL020,10,2.31,2.83,93.66,83.50
SIGNAL020,15,2.72,3.20,96.21,89.51
SIGNAL020,20,3.07,3.56,97.71,93.18
SIGNAL020,25,3.35,3.83,98.64,95.66
SIGNAL020,30,3.61,4.06,99.16,97.28
SIGNAL021,-20,1.07,1.09,33.46,2.39
SIGNAL021,-15,1.03,1.09,37.60,6.96
SIGNAL021,-10,1.05,1.17,47.95,18.94
SIGNAL021,-5,1.13,1.37,62.57,36.44
SIGNAL021,0,1.33,1.74,77.61,56.53
SIGNAL021,5,1.69,2.25,86.98,71.81
SIGNAL021,10,2.11,2.74,92.57,82.00
SIGNAL021,15,2.42,3.13,95.65,88.39
SIGNAL021,20,2.88,3.50,97.47,92.77
SIGNAL021,25,3.31,3.82,98.49,95.49
SIGNAL021,30,3.63,4.01,99.06,97.02
