noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.12,1.29,32.82,7.60
26270,-15,1.04,1.12,39.59,14.36
26270,-10,1.06,1.20,50.21,25.00
26270,-5,1.15,1.41,64.64,41.97
26270,0,1.33,1.77,77.86,59.49
26270,5,1.63,2.25,86.83,73.10
26270,10,2.10,2.79,92.14,82.72
26270,15,2.58,3.23,95.05,88.75
26270,20,3.02,3.62,96.93,92.88
26270,25,3.40,3.89,98.04,95.32
26270,30,3.67,4.08,98.72,96.95
SIGNAL019,-20,1.04,1.10,29.02,4.79
SIGNAL019,-15,1.07,1.11,33.00,10.38
SIGNAL019,-10,1.05,1.14,43.01,20.33
SIGNAL019,-5,1.14,1.36,59.02,36.27
SIGNAL019,0,1.38,1.75,75.64,56.68
SIGNAL019,5,1.73,2.23,86.70,72.70
SIGNAL019,10,2.26,2.80,92.91,84.09
SIGNAL019,15,2.77,3.29,96.23,90.61
SIGNAL019,20,3.20,3.67,97.82,94.22
SIGNAL019,25,3.52,3.94,98.60,96.26
SIGNAL019,30,3.77,4.10,99.00,97.49
SIGNAL020,-20,1.05,1.08,35.26,1.98
SIGNAL020,-15,1.04,1.10,40.52,7.23
SIGNAL020,-10,1.07,1.20,50.36,19.29
SIGNAL020,-5,1.23,1.51,67.88,42.90
SIGNAL020,0,1.51,1.97,81.35,61.39
SIGNAL020,5,1.89,2.44,88.84,74.35
SIGNAL020,10,2.32,2.86,93.34,82.98
SIGNAL020,15,2.79,3.29,96.03,89.11
SIGNAL020,20,3.19,3.66,97.65,93.04
SIGNAL020,25,3.47,3.91,98.58,95.51
SIGNAL020,30,3.68,4.08,99.12,97.14
SIGNAL021,-20,1.13,1.34,35.90,1.59
SIGNAL021,-15,1.16,1.36,38.73,5.30
SIGNAL021,-10,1.04,1.15,46.32,15.52
SIGNAL021,-5,1.13,1.33,60.13,33.40
SIGNAL021,0,1.31,1.69,75.77,54.09
SIGNAL021,5,1.67,2.23,86.29,70.83
SIGNAL021,10,2.13,2.74,92.26,81.57
SIGNAL021,15,2.52,3.17,95.45,88.03
SIGNAL021,20,2.95,3.55,97.27,92.38
SIGNAL021,25,3.44,3.83,98.43,95.39
SIGNAL021,30,3.73,4.01,99.04,97.04
