noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.06,1.11,31.82,6.98
26270,-15,1.05,1.16,39.21,14.44
26270,-10,1.06,1.20,51.03,25.98
26270,-5,1.13,1.41,65.60,43.05
26270,0,1.31,1.77,79.02,60.80
26270,5,1.64,2.25,87.77,74.18
26270,10,2.09,2.78,92.75,83.32
26270,15,2.56,3.23,95.54,89.22
26270,20,3.02,3.59,97.16,93.03
26270,25,3.39,3.88,98.18,95.52
26270,30,3.72,4.09,98.91,97.25
SIGNAL019,-20,1.09,1.29,28.82,4.53
SIGNAL019,-15,1.06,1.13,33.74,10.25
SIGNAL019,-10,1.06,1.17,44.12,21.53
SIGNAL019,-5,1.16,1.36,60.03,37.26
SIGNAL019,0,1.39,1.77,76.83,57.69
SIGNAL019,5,1.73,2.24,87.30,73.47
SIGNAL019,10,2.26,2.80,93.37,84.65
SIGNAL019,15,2.78,3.30,96.37,90.80
SIGNAL019,20,3.24,3.69,97.87,94.30
SIGNAL019,25,3.58,3.97,98.65,96.31
SIGNAL019,30,3.86,4.16,99.07,97.53
SIGNAL020,-20,1.18,1.18,33.53,1.98
SIGNAL020,-15,1.05,1.13,39.33,7.41
SIGNAL020,-10,1.07,1.23,51.33,21.64
SIGNAL020,-5,1.24,1.54,69.27,44.56
SIGNAL020,0,1.51,1.98,82.20,62.48
SIGNAL020,5,1.87,2.43,89.42,74.88
SIGNAL020,10,2.29,2.83,93.62,83.14
SIGNAL020,15,2.70,3.23,96.17,89.18
SIGNAL020,20,3.04,3.58,97.68,92.99
SIGNAL020,25,3.32,3.84,98.57,95.47
SIGNAL020,30,3.58,4.06,99.10,97.14
SIGNAL021,-20,1.06,1.15,34.48,1.52
SIGNAL021,-15,1.04,1.08,38.01,5.53
SIGNAL021,-10,1.04,1.15,46.45,16.02
SIGNAL021,-5,1.12,1.35,62.01,35.17
SIGNAL021,0,1.32,1.73,77.44,55.88
SIGNAL021,5,1.65,2.22,87.02,71.78
SIGNAL021,10,2.15,2.75,92.65,82.19
SIGNAL021,15,2.50,3.13,95.56,88.48
SIGNAL021,20,2.94,3.50,97.41,92.91
SIGNAL021,25,3.39,3.78,98.45,95.52
SIGNAL021,30,3.74,4.01,99.07,97.17
