noise,snr_db,MOS-LQO,PESQ,STOI,eSTOI
26270,-20,1.12,1.18,32.08,7.02
26270,-15,1.04,1.13,39.78,14.73
26270,-10,1.07,1.21,50.85,25.57
26270,-5,1.15,1.42,65.32,43.05
26270,0,1.33,1.79,78.56,60.37
26270,5,1.65,2.26,87.19,73.84
26270,10,2.09,2.80,92.43,83.06
26270,15,2.59,3.25,95.40,89.08
26270,20,3.03,3.61,97.13,93.02
26270,25,3.39,3.88,98.16,95.50
26270,30,3.70,4.08,98.81,97.15
SIGNAL019,-20,1.14,1.18,29.16,5.20
SIGNAL019,-15,1.10,1.16,33.38,9.77
SIGNAL019,-10,1.05,1.15,43.99,20.53
SIGNAL019,-5,1.14,1.35,59.63,37.15
SIGNAL019,0,1.39,1.78,76.13,57.77
SIGNAL019,5,1.78,2.29,87.22,73.74
SIGNAL019,10,2.30,2.83,93.16,84.34
SIGNAL019,15,2.76,3.30,96.29,90.55
SIGNAL019,20,3.17,3.67,97.81,94.09
SIGNAL019,25,3.50,3.95,98.58,96.16
SIGNAL019,30,3.76,4.12,99.03,97.44
SIGNAL020,-20,1.07,1.12,35.26,1.74
SIGNAL020,-15,1.05,1.12,40.31,6.64
SIGNAL020,-10,1.08,1.25,51.58,20.50
SIGNAL020,-5,1.25,1.56,69.47,44.34
SIGNAL020,0,1.52,2.00,81.84,62.03
SIGNAL020,5,1.90,2.45,89.16,74.60
SIGNAL020,10,2.30,2.84,93.45,82.94
SIGNAL020,15,2.72,3.23,96.05,89.01
SIGNAL020,20,3.09,3.59,97.68,93.08
SIGNAL020,25,3.39,3.89,98.57,95.51
SIGNAL020,30,3.65,4.07,99.13,97.13
SIGNAL021,-20,1.06,1.23,35.82,1.55
SIGNAL021,-15,1.04,1.16,39.33,5.13
SIGNAL021,-10,1.04,1.16,48.28,16.95
SIGNAL021,-5,1.13,1.36,62.00,34.81
SIGNAL021,0,1.32,1.74,76.81,55.21
SIGNAL021,5,1.67,2.26,86.58,71.19
SIGNAL021,10,2.13,2.76,92.32,81.51
SIGNAL021,15,2.48,3.15,95.45,87.81
SIGNAL021,20,2.91,3.48,97.32,92.23
SIGNAL021,25,3.27,3.73,98.32,94.92
SIGNAL021,30,3.56,3.94,98.91,96.59
